conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38,DNArepair
"wt, no DNAdam",118,model0101.bnet,,0.802,,0.142,0.142,0.142,0.802,,,0.802,0.802,,0.219,0.219,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",118,model0101.bnet,,1.0,,,,,1.0,,,0.802,1.0,,0.13,0.13,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",118,model0101.bnet,0.364,1.0,0.486,,,,1.0,0.364,0.364,0.856,1.0,0.364,0.032,0.027,1.0,0.364,1.0,
"kras$\Delta$, DNAdam, chek1i/0",118,model0101.bnet,0.367,1.0,0.486,0.514,0.514,0.514,,0.367,0.367,0.844,1.0,0.367,0.524,0.514,1.0,0.367,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",118,model0101.bnet,0.355,1.0,0.478,0.522,0.522,0.522,,0.355,0.355,0.864,1.0,0.355,0.532,0.522,1.0,0.355,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",118,model0101.bnet,0.353,1.0,0.47,0.53,0.53,0.53,,0.353,0.353,0.861,1.0,,0.539,0.53,1.0,0.353,1.0,
"wt, no DNAdam",119,model0101.bnet,,0.809,,0.137,0.137,0.137,0.809,,,0.809,0.809,,0.206,0.206,0.809,,0.809,
"kras$\Delta$, no DNAdam, 0/0",119,model0101.bnet,,1.0,,,,,1.0,,,0.806,1.0,,0.156,0.156,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",119,model0101.bnet,0.358,1.0,0.471,,,,1.0,0.358,0.358,0.858,1.0,0.358,0.026,0.02,1.0,0.358,1.0,
"kras$\Delta$, DNAdam, chek1i/0",119,model0101.bnet,0.357,1.0,0.471,0.529,0.529,0.529,,0.357,0.357,0.838,1.0,0.357,0.54,0.528,1.0,0.357,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",119,model0101.bnet,0.364,1.0,0.471,0.53,0.53,0.53,,0.364,0.364,0.867,1.0,0.364,0.54,0.53,1.0,0.364,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",119,model0101.bnet,0.354,1.0,0.489,0.511,0.511,0.511,,0.354,0.354,0.863,1.0,,0.522,0.511,1.0,0.354,1.0,
"wt, no DNAdam",120,model0101.bnet,,0.798,,0.148,0.148,0.148,0.798,,,0.798,0.798,,0.394,0.394,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",120,model0101.bnet,,1.0,,,,,1.0,,,0.816,1.0,,0.384,0.384,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",120,model0101.bnet,0.354,1.0,0.496,,,,1.0,0.354,0.354,0.859,1.0,0.354,0.101,0.064,1.0,0.354,1.0,
"kras$\Delta$, DNAdam, chek1i/0",120,model0101.bnet,0.385,1.0,0.499,0.501,0.501,0.501,,0.385,0.385,0.867,1.0,0.385,0.544,0.501,1.0,0.385,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",120,model0101.bnet,0.375,1.0,0.497,0.503,0.503,0.503,,0.375,0.375,0.864,1.0,0.375,0.565,0.503,1.0,0.375,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",120,model0101.bnet,0.379,1.0,0.501,0.5,0.5,0.5,,0.379,0.379,0.858,1.0,,0.548,0.5,1.0,0.379,1.0,
"wt, no DNAdam",121,model0101.bnet,,0.79,,0.15,0.15,0.15,0.79,,,0.79,0.79,,0.399,0.399,0.79,,0.79,
"kras$\Delta$, no DNAdam, 0/0",121,model0101.bnet,,1.0,,,,,1.0,,,0.794,1.0,,0.403,0.403,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",121,model0101.bnet,0.38,1.0,0.505,,,,1.0,0.38,0.38,0.854,1.0,0.38,0.096,0.064,1.0,0.38,1.0,
"kras$\Delta$, DNAdam, chek1i/0",121,model0101.bnet,0.383,1.0,0.518,0.483,0.483,0.483,,0.383,0.383,0.845,1.0,0.383,0.544,0.483,1.0,0.383,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",121,model0101.bnet,0.391,1.0,0.507,0.493,0.493,0.493,,0.391,0.391,0.86,1.0,0.391,0.554,0.493,1.0,0.391,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",121,model0101.bnet,0.385,1.0,0.51,0.491,0.491,0.491,,0.385,0.385,0.859,1.0,,0.543,0.491,1.0,0.385,1.0,
"wt, no DNAdam",122,model0101.bnet,,0.806,,0.134,0.134,0.134,0.806,,,0.806,0.806,,0.376,0.376,0.806,,0.806,
"kras$\Delta$, no DNAdam, 0/0",122,model0101.bnet,,1.0,,,,,1.0,,,0.815,1.0,,0.394,0.394,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",122,model0101.bnet,0.364,1.0,0.484,,,,1.0,0.364,0.364,0.85,1.0,0.364,0.086,0.055,1.0,0.364,1.0,
"kras$\Delta$, DNAdam, chek1i/0",122,model0101.bnet,0.38,1.0,0.503,0.497,0.497,0.497,,0.38,0.38,0.851,1.0,0.38,0.552,0.497,1.0,0.38,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",122,model0101.bnet,0.383,1.0,0.492,0.508,0.508,0.508,,0.383,0.383,0.853,1.0,0.383,0.564,0.508,1.0,0.383,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",122,model0101.bnet,0.383,1.0,0.517,0.483,0.483,0.483,,0.383,0.383,0.862,1.0,,0.532,0.483,1.0,0.383,1.0,
"wt, no DNAdam",123,model0101.bnet,,0.815,,0.137,0.137,0.137,0.815,,,0.815,0.815,,0.43,0.43,0.815,,0.815,
"kras$\Delta$, no DNAdam, 0/0",123,model0101.bnet,,1.0,,,,,1.0,,,0.811,1.0,,0.43,0.43,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",123,model0101.bnet,0.402,1.0,0.514,,,,1.0,0.402,0.402,0.858,1.0,0.402,0.139,0.077,1.0,0.402,1.0,
"kras$\Delta$, DNAdam, chek1i/0",123,model0101.bnet,0.392,1.0,0.508,0.492,0.492,0.492,,0.392,0.392,0.842,1.0,0.392,0.58,0.492,1.0,0.392,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",123,model0101.bnet,0.394,1.0,0.512,0.488,0.488,0.488,,0.394,0.394,0.874,1.0,0.394,0.569,0.488,1.0,0.394,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",123,model0101.bnet,0.387,1.0,0.516,0.484,0.484,0.484,,0.387,0.387,0.855,1.0,,0.572,0.484,1.0,0.387,1.0,
"wt, no DNAdam",124,model0101.bnet,,0.808,,0.134,0.134,0.134,0.808,,,0.808,0.808,,0.427,0.427,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",124,model0101.bnet,,1.0,,,,,1.0,,,0.794,1.0,,0.423,0.423,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",124,model0101.bnet,0.371,1.0,0.495,,,,1.0,0.371,0.371,0.86,1.0,0.371,0.124,0.068,1.0,0.371,1.0,
"kras$\Delta$, DNAdam, chek1i/0",124,model0101.bnet,0.399,1.0,0.528,0.472,0.472,0.472,,0.399,0.399,0.856,1.0,0.399,0.568,0.472,1.0,0.399,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",124,model0101.bnet,0.386,1.0,0.509,0.49,0.49,0.49,,0.386,0.386,0.855,1.0,0.386,0.57,0.49,1.0,0.386,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",124,model0101.bnet,0.388,1.0,0.512,0.488,0.488,0.488,,0.388,0.388,0.847,1.0,,0.585,0.488,1.0,0.388,1.0,
"wt, no DNAdam",125,model0101.bnet,,0.788,,0.144,0.144,0.144,0.788,,,0.788,0.788,,0.426,0.426,0.788,,0.788,
"kras$\Delta$, no DNAdam, 0/0",125,model0101.bnet,,1.0,,,,,1.0,,,0.812,1.0,,0.406,0.406,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",125,model0101.bnet,0.377,1.0,0.508,,,,1.0,0.377,0.377,0.861,1.0,0.377,0.126,0.07,1.0,0.377,1.0,
"kras$\Delta$, DNAdam, chek1i/0",125,model0101.bnet,0.408,1.0,0.534,0.466,0.466,0.466,,0.408,0.408,0.846,1.0,0.408,0.56,0.466,1.0,0.408,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",125,model0101.bnet,0.4,1.0,0.515,0.485,0.485,0.485,,0.4,0.4,0.843,1.0,0.4,0.58,0.485,1.0,0.4,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",125,model0101.bnet,0.382,1.0,0.493,0.507,0.507,0.507,,0.382,0.382,0.838,1.0,,0.596,0.507,1.0,0.382,1.0,
"wt, no DNAdam",126,model0101.bnet,,0.798,,0.139,0.139,0.139,0.798,,,0.798,0.798,,0.253,0.253,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",126,model0101.bnet,,1.0,,,,,1.0,,,0.794,1.0,,0.186,0.186,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",126,model0101.bnet,0.379,1.0,0.498,,,,1.0,0.379,0.379,0.855,1.0,0.379,0.039,0.028,1.0,0.379,1.0,
"kras$\Delta$, DNAdam, chek1i/0",126,model0101.bnet,0.368,1.0,0.481,0.519,0.519,0.519,,0.368,0.368,0.854,1.0,0.368,0.537,0.519,1.0,0.368,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",126,model0101.bnet,0.358,1.0,0.483,0.517,0.517,0.517,,0.358,0.358,0.846,1.0,0.358,0.534,0.516,1.0,0.358,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",126,model0101.bnet,0.394,1.0,0.492,0.508,0.508,0.508,,0.394,0.394,0.852,1.0,,0.527,0.508,1.0,0.394,1.0,
"wt, no DNAdam",127,model0101.bnet,,0.802,,0.14,0.14,0.14,0.802,,,0.802,0.802,,0.244,0.244,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",127,model0101.bnet,,1.0,,,,,1.0,,,0.805,1.0,,0.184,0.184,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",127,model0101.bnet,0.362,1.0,0.494,,,,1.0,0.362,0.362,0.851,1.0,0.362,0.035,0.022,1.0,0.362,1.0,
"kras$\Delta$, DNAdam, chek1i/0",127,model0101.bnet,0.37,1.0,0.497,0.503,0.503,0.503,,0.37,0.37,0.85,1.0,0.37,0.518,0.503,1.0,0.37,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",127,model0101.bnet,0.356,1.0,0.474,0.526,0.526,0.526,,0.356,0.356,0.846,1.0,0.356,0.546,0.526,1.0,0.356,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",127,model0101.bnet,0.364,1.0,0.488,0.512,0.512,0.512,,0.364,0.364,0.843,1.0,,0.532,0.512,1.0,0.364,1.0,
"wt, no DNAdam",128,model0101.bnet,,0.802,,0.144,0.144,0.144,0.802,,,0.802,0.802,,0.253,0.253,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",128,model0101.bnet,,1.0,,,,,1.0,,,0.808,1.0,,0.182,0.182,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",128,model0101.bnet,0.361,1.0,0.486,,,,1.0,0.361,0.361,0.838,1.0,0.361,0.046,0.034,1.0,0.361,1.0,
"kras$\Delta$, DNAdam, chek1i/0",128,model0101.bnet,0.344,1.0,0.469,0.531,0.531,0.531,,0.344,0.344,0.871,1.0,0.344,0.548,0.531,1.0,0.344,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",128,model0101.bnet,0.367,1.0,0.494,0.506,0.506,0.506,,0.367,0.367,0.856,1.0,0.367,0.53,0.506,1.0,0.367,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",128,model0101.bnet,0.337,1.0,0.457,0.543,0.543,0.543,,0.337,0.337,0.856,1.0,,0.562,0.542,1.0,0.337,1.0,
"wt, no DNAdam",129,model0101.bnet,,0.817,,0.129,0.129,0.129,0.817,,,0.817,0.817,,0.467,0.467,0.817,,0.817,
"kras$\Delta$, no DNAdam, 0/0",129,model0101.bnet,,1.0,,,,,1.0,,,0.806,1.0,,0.444,0.444,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",129,model0101.bnet,0.394,1.0,0.51,,,,1.0,0.394,0.394,0.852,1.0,0.394,0.147,0.086,1.0,0.394,1.0,
"kras$\Delta$, DNAdam, chek1i/0",129,model0101.bnet,0.399,1.0,0.532,0.468,0.468,0.468,,0.399,0.399,0.841,1.0,0.399,0.556,0.468,1.0,0.399,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",129,model0101.bnet,0.372,1.0,0.503,0.497,0.497,0.497,,0.372,0.372,0.853,1.0,0.372,0.579,0.497,1.0,0.372,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",129,model0101.bnet,0.427,1.0,0.544,0.456,0.456,0.456,,0.427,0.427,0.856,1.0,,0.56,0.456,1.0,0.427,1.0,
"wt, no DNAdam",130,model0101.bnet,,0.812,,0.137,0.137,0.137,0.812,,,0.812,0.812,,0.46,0.46,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",130,model0101.bnet,,1.0,,,,,1.0,,,0.805,1.0,,0.479,0.479,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",130,model0101.bnet,0.41,1.0,0.524,,,,1.0,0.41,0.41,0.842,1.0,0.41,0.145,0.076,1.0,0.41,1.0,
"kras$\Delta$, DNAdam, chek1i/0",130,model0101.bnet,0.41,1.0,0.53,0.47,0.47,0.47,,0.41,0.41,0.86,1.0,0.41,0.566,0.47,1.0,0.41,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",130,model0101.bnet,0.384,1.0,0.503,0.497,0.497,0.497,,0.384,0.384,0.846,1.0,0.384,0.588,0.497,1.0,0.384,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",130,model0101.bnet,0.412,1.0,0.521,0.479,0.479,0.479,,0.412,0.412,0.853,1.0,,0.57,0.479,1.0,0.412,1.0,
"wt, no DNAdam",131,model0101.bnet,,0.782,,0.162,0.162,0.162,0.782,,,0.782,0.782,,0.477,0.477,0.782,,0.782,
"kras$\Delta$, no DNAdam, 0/0",131,model0101.bnet,,1.0,,,,,1.0,,,0.792,1.0,,0.501,0.501,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",131,model0101.bnet,0.37,1.0,0.484,,,,1.0,0.37,0.37,0.854,1.0,0.37,0.155,0.092,1.0,0.37,1.0,
"kras$\Delta$, DNAdam, chek1i/0",131,model0101.bnet,0.377,1.0,0.498,0.502,0.502,0.502,,0.377,0.377,0.848,1.0,0.377,0.591,0.502,1.0,0.377,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",131,model0101.bnet,0.406,1.0,0.524,0.477,0.477,0.477,,0.406,0.406,0.854,1.0,0.406,0.568,0.477,1.0,0.406,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",131,model0101.bnet,0.419,1.0,0.536,0.464,0.464,0.464,,0.419,0.419,0.85,1.0,,0.565,0.464,1.0,0.419,1.0,
"wt, no DNAdam",132,model0101.bnet,,0.832,,0.125,0.125,0.125,0.832,,,0.832,0.832,,0.496,0.496,0.832,,0.832,
"kras$\Delta$, no DNAdam, 0/0",132,model0101.bnet,,1.0,,,,,1.0,,,0.826,1.0,,0.496,0.496,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",132,model0101.bnet,0.398,1.0,0.522,,,,1.0,0.398,0.398,0.85,1.0,0.398,0.172,0.08,1.0,0.398,1.0,
"kras$\Delta$, DNAdam, chek1i/0",132,model0101.bnet,0.439,1.0,0.558,0.442,0.442,0.442,,0.439,0.439,0.869,1.0,0.439,0.592,0.442,1.0,0.439,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",132,model0101.bnet,0.43,1.0,0.554,0.446,0.446,0.446,,0.43,0.43,0.85,1.0,0.43,0.595,0.446,1.0,0.43,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",132,model0101.bnet,0.44,1.0,0.557,0.443,0.443,0.443,,0.44,0.44,0.864,1.0,,0.592,0.443,1.0,0.44,1.0,
"wt, no DNAdam",133,model0101.bnet,,0.81,,0.134,0.134,0.134,0.81,,,0.81,0.81,,0.504,0.504,0.81,,0.81,
"kras$\Delta$, no DNAdam, 0/0",133,model0101.bnet,,1.0,,,,,1.0,,,0.802,1.0,,0.498,0.498,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",133,model0101.bnet,0.404,1.0,0.527,,,,1.0,0.404,0.404,0.844,1.0,0.404,0.178,0.076,1.0,0.404,1.0,
"kras$\Delta$, DNAdam, chek1i/0",133,model0101.bnet,0.428,1.0,0.547,0.454,0.454,0.454,,0.428,0.428,0.85,1.0,0.428,0.592,0.454,1.0,0.428,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",133,model0101.bnet,0.42,1.0,0.539,0.461,0.461,0.461,,0.42,0.42,0.853,1.0,0.42,0.587,0.461,1.0,0.42,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",133,model0101.bnet,0.423,1.0,0.539,0.461,0.461,0.461,,0.423,0.423,0.866,1.0,,0.61,0.461,1.0,0.423,1.0,
"wt, no DNAdam",134,model0101.bnet,,0.807,,0.142,0.142,0.142,0.807,,,0.807,0.807,,0.503,0.503,0.807,,0.807,
"kras$\Delta$, no DNAdam, 0/0",134,model0101.bnet,,1.0,,,,,1.0,,,0.79,1.0,,0.526,0.526,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",134,model0101.bnet,0.406,1.0,0.525,,,,1.0,0.406,0.406,0.856,1.0,0.406,0.172,0.073,1.0,0.406,1.0,
"kras$\Delta$, DNAdam, chek1i/0",134,model0101.bnet,0.427,1.0,0.54,0.46,0.46,0.46,,0.427,0.427,0.851,1.0,0.427,0.601,0.46,1.0,0.427,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",134,model0101.bnet,0.426,1.0,0.539,0.461,0.461,0.461,,0.426,0.426,0.848,1.0,0.426,0.592,0.461,1.0,0.426,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",134,model0101.bnet,0.45,1.0,0.554,0.446,0.446,0.446,,0.45,0.45,0.847,1.0,,0.588,0.446,1.0,0.45,1.0,
"wt, no DNAdam",135,model0101.bnet,,0.8,,0.151,0.151,0.151,0.8,,,0.8,0.8,,0.183,0.183,0.8,,0.8,
"kras$\Delta$, no DNAdam, 0/0",135,model0101.bnet,,1.0,,,,,1.0,,,0.797,1.0,,0.072,0.072,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",135,model0101.bnet,0.354,1.0,0.478,,,,1.0,0.354,0.354,0.864,1.0,0.354,0.01,0.007,1.0,0.354,1.0,
"kras$\Delta$, DNAdam, chek1i/0",135,model0101.bnet,0.342,1.0,0.463,0.536,0.536,0.536,,0.342,0.342,0.848,1.0,0.342,0.541,0.536,1.0,0.342,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",135,model0101.bnet,0.329,1.0,0.445,0.555,0.554,0.554,,0.329,0.329,0.848,1.0,0.329,0.557,0.554,1.0,0.329,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",135,model0101.bnet,0.338,1.0,0.471,0.529,0.529,0.529,,0.338,0.338,0.856,1.0,,0.533,0.528,1.0,0.338,1.0,
"wt, no DNAdam",136,model0101.bnet,,0.805,,0.155,0.155,0.155,0.805,,,0.805,0.805,,0.185,0.185,0.805,,0.805,
"kras$\Delta$, no DNAdam, 0/0",136,model0101.bnet,,1.0,,,,,1.0,,,0.816,1.0,,0.072,0.072,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",136,model0101.bnet,0.356,1.0,0.473,,,,1.0,0.356,0.356,0.851,1.0,0.356,0.017,0.014,1.0,0.356,1.0,
"kras$\Delta$, DNAdam, chek1i/0",136,model0101.bnet,0.346,1.0,0.457,0.542,0.542,0.542,,0.346,0.346,0.848,1.0,0.346,0.544,0.541,1.0,0.346,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",136,model0101.bnet,0.363,1.0,0.487,0.513,0.513,0.513,,0.363,0.363,0.856,1.0,0.363,0.516,0.512,1.0,0.363,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",136,model0101.bnet,0.34,1.0,0.464,0.536,0.536,0.536,,0.34,0.34,0.851,1.0,,0.539,0.535,1.0,0.34,1.0,
"wt, no DNAdam",137,model0101.bnet,,0.812,,0.144,0.144,0.144,0.812,,,0.812,0.812,,0.172,0.172,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",137,model0101.bnet,,1.0,,,,,1.0,,,0.794,1.0,,0.066,0.066,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",137,model0101.bnet,0.36,1.0,0.465,,,,1.0,0.36,0.36,0.85,1.0,0.36,0.012,0.007,1.0,0.36,1.0,
"kras$\Delta$, DNAdam, chek1i/0",137,model0101.bnet,0.374,1.0,0.496,0.504,0.504,0.504,,0.374,0.374,0.858,1.0,0.374,0.508,0.504,1.0,0.374,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",137,model0101.bnet,0.363,1.0,0.473,0.527,0.527,0.527,,0.363,0.363,0.849,1.0,0.363,0.53,0.526,1.0,0.363,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",137,model0101.bnet,0.375,1.0,0.476,0.524,0.524,0.524,,0.375,0.375,0.855,1.0,,0.526,0.524,1.0,0.375,1.0,
"wt, no DNAdam",138,model0101.bnet,,0.81,,0.146,0.146,0.146,0.81,,,0.81,0.81,,0.246,0.246,0.81,,0.81,
"kras$\Delta$, no DNAdam, 0/0",138,model0101.bnet,,1.0,,,,,1.0,,,0.796,1.0,,0.169,0.169,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",138,model0101.bnet,0.349,1.0,0.468,,,,1.0,0.349,0.349,0.856,1.0,0.349,0.042,0.032,1.0,0.349,1.0,
"kras$\Delta$, DNAdam, chek1i/0",138,model0101.bnet,0.369,1.0,0.49,0.51,0.51,0.51,,0.369,0.369,0.853,1.0,0.369,0.535,0.51,1.0,0.369,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",138,model0101.bnet,0.338,1.0,0.451,0.549,0.549,0.549,,0.338,0.338,0.842,1.0,0.338,0.568,0.549,1.0,0.338,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",138,model0101.bnet,0.374,1.0,0.494,0.505,0.505,0.505,,0.374,0.374,0.855,1.0,,0.532,0.505,1.0,0.374,1.0,
"wt, no DNAdam",139,model0101.bnet,,0.812,,0.148,0.148,0.148,0.812,,,0.812,0.812,,0.25,0.25,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",139,model0101.bnet,,1.0,,,,,1.0,,,0.812,1.0,,0.154,0.154,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",139,model0101.bnet,0.352,1.0,0.472,,,,1.0,0.352,0.352,0.851,1.0,0.352,0.04,0.024,1.0,0.352,1.0,
"kras$\Delta$, DNAdam, chek1i/0",139,model0101.bnet,0.352,1.0,0.476,0.524,0.524,0.524,,0.352,0.352,0.854,1.0,0.352,0.538,0.524,1.0,0.352,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",139,model0101.bnet,0.362,1.0,0.493,0.507,0.507,0.507,,0.362,0.362,0.846,1.0,0.362,0.526,0.507,1.0,0.362,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",139,model0101.bnet,0.348,1.0,0.48,0.52,0.52,0.52,,0.348,0.348,0.845,1.0,,0.538,0.52,1.0,0.348,1.0,
"wt, no DNAdam",140,model0101.bnet,,0.809,,0.144,0.144,0.144,0.809,,,0.809,0.809,,0.24,0.24,0.809,,0.809,
"kras$\Delta$, no DNAdam, 0/0",140,model0101.bnet,,1.0,,,,,1.0,,,0.811,1.0,,0.176,0.176,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",140,model0101.bnet,0.362,1.0,0.483,,,,1.0,0.362,0.362,0.857,1.0,0.362,0.043,0.028,1.0,0.362,1.0,
"kras$\Delta$, DNAdam, chek1i/0",140,model0101.bnet,0.349,1.0,0.472,0.528,0.528,0.528,,0.349,0.349,0.852,1.0,0.349,0.546,0.528,1.0,0.349,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",140,model0101.bnet,0.362,1.0,0.48,0.52,0.52,0.52,,0.362,0.362,0.847,1.0,0.362,0.534,0.52,1.0,0.362,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",140,model0101.bnet,0.343,1.0,0.466,0.534,0.534,0.534,,0.343,0.343,0.865,1.0,,0.551,0.534,1.0,0.343,1.0,
"wt, no DNAdam",141,model0101.bnet,,0.816,,0.142,0.142,0.142,0.816,,,0.816,0.816,,0.254,0.254,0.816,,0.816,
"kras$\Delta$, no DNAdam, 0/0",141,model0101.bnet,,1.0,,,,,1.0,,,0.805,1.0,,0.202,0.202,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",141,model0101.bnet,0.364,1.0,0.49,,,,1.0,0.364,0.364,0.851,1.0,0.364,0.054,0.031,1.0,0.364,1.0,
"kras$\Delta$, DNAdam, chek1i/0",141,model0101.bnet,0.391,1.0,0.5,0.5,0.5,0.5,,0.391,0.391,0.86,1.0,0.391,0.533,0.5,1.0,0.391,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",141,model0101.bnet,0.372,1.0,0.492,0.508,0.508,0.508,,0.372,0.372,0.852,1.0,0.372,0.542,0.508,1.0,0.372,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",141,model0101.bnet,0.368,1.0,0.485,0.515,0.515,0.515,,0.368,0.368,0.855,1.0,,0.542,0.515,1.0,0.368,1.0,
"wt, no DNAdam",142,model0101.bnet,,0.796,,0.177,0.177,0.177,0.796,,,0.796,0.796,,0.279,0.279,0.796,,0.796,
"kras$\Delta$, no DNAdam, 0/0",142,model0101.bnet,,1.0,,,,,1.0,,,0.808,1.0,,0.182,0.182,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",142,model0101.bnet,0.347,1.0,0.453,,,,1.0,0.347,0.347,0.851,1.0,0.347,0.058,0.037,1.0,0.347,1.0,
"kras$\Delta$, DNAdam, chek1i/0",142,model0101.bnet,0.38,1.0,0.493,0.507,0.507,0.507,,0.38,0.38,0.867,1.0,0.38,0.542,0.507,1.0,0.38,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",142,model0101.bnet,0.364,1.0,0.488,0.511,0.511,0.511,,0.364,0.364,0.839,1.0,0.364,0.54,0.511,1.0,0.364,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",142,model0101.bnet,0.36,1.0,0.481,0.52,0.52,0.52,,0.36,0.36,0.874,1.0,,0.55,0.52,1.0,0.36,1.0,
"wt, no DNAdam",143,model0101.bnet,,0.808,,0.148,0.148,0.148,0.808,,,0.808,0.808,,0.26,0.26,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",143,model0101.bnet,,1.0,,,,,1.0,,,0.799,1.0,,0.214,0.214,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",143,model0101.bnet,0.37,1.0,0.482,,,,1.0,0.37,0.37,0.847,1.0,0.37,0.058,0.037,1.0,0.37,1.0,
"kras$\Delta$, DNAdam, chek1i/0",143,model0101.bnet,0.354,1.0,0.468,0.532,0.532,0.532,,0.354,0.354,0.864,1.0,0.354,0.558,0.532,1.0,0.354,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",143,model0101.bnet,0.366,1.0,0.496,0.503,0.503,0.503,,0.366,0.366,0.85,1.0,0.366,0.528,0.503,1.0,0.366,1.0,
