conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38
"kras$\Delta$, DNAdam, 0/mk2i",196,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.002,1.0,0.002,0.07400000000000001,0.07400000000000001,0.07400000000000001,0.002,0.002,0.002,0.8415,1.0,,0.07700000000000001,0.07500000000000001,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",196,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.004999999999999999,1.0,0.0055,0.0925,0.0925,0.0925,,0.004999999999999999,0.004999999999999999,0.8344999999999999,1.0,,0.099,0.0935,1.0,,1.0
"wt, no DNAdam",197,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8145,,0.1895,0.1895,0.1895,,,,0.8145,0.8145,,0.1895,0.1895,0.8145,,0.8145
"kras$\Delta$, no DNAdam, 0/0",197,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,1.0,,0.1795,0.1795,0.1795,,,,0.8075,1.0,,0.1795,0.1795,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",197,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0025,0.9999999999999999,0.0025,0.062,0.062,0.062,0.0025,0.0025,0.0025,0.8574999999999999,0.9999999999999999,0.0025,0.065,0.0625,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",197,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0035,0.9999999999999999,0.004,0.08,0.08,0.08,,0.0035,0.0035,0.84,0.9999999999999999,0.0035,0.0855,0.0815,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",197,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.004,1.0,0.0045000000000000005,0.07050000000000001,0.07050000000000001,0.07050000000000001,0.004,0.004,0.004,0.8545,1.0,,0.07650000000000001,0.07200000000000001,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",197,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0035,1.0,0.0035,0.08249999999999999,0.08249999999999999,0.08249999999999999,,0.0035,0.0035,0.854,1.0,,0.086,0.08249999999999999,1.0,,1.0
"wt, no DNAdam",198,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8005,,0.21000000000000002,0.21000000000000002,0.21000000000000002,,,,0.8005,0.8005,,0.21000000000000002,0.21000000000000002,0.8005,,0.8005
"kras$\Delta$, no DNAdam, 0/0",198,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.20149999999999998,0.20149999999999998,0.20149999999999998,,,,0.8015,0.9999999999999999,,0.20149999999999998,0.20149999999999998,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",198,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.0775,0.0775,0.0775,,,,0.843,0.9999999999999999,,0.08049999999999999,0.08049999999999999,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",198,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.0875,0.0875,0.0875,,,,0.8464999999999999,0.9999999999999999,,0.0915,0.0915,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",198,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0005,1.0,0.0005,0.08399999999999999,0.08399999999999999,0.08399999999999999,0.0005,0.0005,0.0005,0.838,1.0,,0.0865,0.086,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",198,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0005,1.0,0.0005,0.1165,0.1165,0.1165,,0.0005,0.0005,0.8270000000000001,1.0,,0.11750000000000001,0.117,1.0,,1.0
"wt, no DNAdam",199,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8019999999999999,,0.1925,0.1925,0.1925,,,,0.8019999999999999,0.8019999999999999,,0.1925,0.1925,0.8019999999999999,,0.8019999999999999
"kras$\Delta$, no DNAdam, 0/0",199,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.186,0.186,0.186,,,,0.8119999999999999,0.9999999999999999,,0.186,0.186,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",199,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0015,1.0,0.0015,0.071,0.071,0.071,0.0015,0.0015,0.0015,0.859,1.0,0.0015,0.0745,0.073,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",199,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0025,0.9999999999999999,0.0025,0.08549999999999999,0.08549999999999999,0.08549999999999999,,0.0025,0.0025,0.847,0.9999999999999999,0.0025,0.09,0.0875,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",199,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.002,1.0,0.002,0.07750000000000001,0.07750000000000001,0.07750000000000001,0.002,0.002,0.002,0.847,1.0,,0.083,0.081,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",199,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.001,1.0,0.001,0.1005,0.1005,0.1005,,0.001,0.001,0.852,1.0,,0.10300000000000001,0.10200000000000001,1.0,,1.0
"wt, no DNAdam",200,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8135,,0.1795,0.1795,0.1795,,,,0.8135,0.8135,,0.1795,0.1795,0.8135,,0.8135
"kras$\Delta$, no DNAdam, 0/0",200,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,1.0,,0.19699999999999998,0.19699999999999998,0.19699999999999998,,,,0.797,1.0,,0.19699999999999998,0.19699999999999998,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",200,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.002,1.0,0.002,0.067,0.067,0.067,0.002,0.002,0.002,0.853,1.0,0.002,0.06999999999999999,0.068,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",200,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.005,0.9999999999999999,0.005,0.095,0.095,0.095,,0.005,0.005,0.8404999999999999,0.9999999999999999,0.005,0.1015,0.0965,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",200,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.002,0.9999999999999998,0.0025,0.07400000000000001,0.07400000000000001,0.07400000000000001,0.002,0.002,0.002,0.8349999999999999,0.9999999999999998,,0.077,0.07450000000000001,0.9999999999999998,,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/mk2i",200,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.005,1.0,0.0055,0.0875,0.0875,0.0875,,0.005,0.005,0.8415,1.0,,0.093,0.0875,1.0,,1.0
"wt, no DNAdam",201,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8035,,0.20149999999999998,0.20149999999999998,0.20149999999999998,,,,0.8035,0.8035,,0.20149999999999998,0.20149999999999998,0.8035,,0.8035
"kras$\Delta$, no DNAdam, 0/0",201,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,1.0,,0.192,0.192,0.192,,,,0.8035,1.0,,0.192,0.192,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",201,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.001,0.9999999999999999,0.001,0.07450000000000001,0.07450000000000001,0.07450000000000001,0.001,0.001,0.001,0.8444999999999999,0.9999999999999999,0.001,0.087,0.086,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",201,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.002,1.0,0.002,0.083,0.083,0.083,,0.002,0.002,0.8635,1.0,0.002,0.096,0.094,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",201,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0005,1.0,0.0005,0.06999999999999999,0.06999999999999999,0.06999999999999999,0.0005,0.0005,0.0005,0.8655,1.0,,0.08,0.0795,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",201,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0025,1.0,0.0025,0.0935,0.0935,0.0935,,0.0025,0.0025,0.85,1.0,,0.0995,0.097,1.0,,1.0
"wt, no DNAdam",202,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.7975,,0.1955,0.1955,0.1955,,,,0.7975,0.7975,,0.1955,0.1955,0.7975,,0.7975
"kras$\Delta$, no DNAdam, 0/0",202,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,1.0,,0.1895,0.1895,0.1895,,,,0.8085,1.0,,0.1895,0.1895,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",202,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.008,1.0,0.0085,0.066,0.066,0.066,0.008,0.008,0.008,0.8405,1.0,0.008,0.08000000000000002,0.07150000000000001,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",202,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.01,1.0,0.0105,0.091,0.091,0.091,,0.01,0.01,0.8405,1.0,0.01,0.10800000000000001,0.0975,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",202,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.006,0.9999999999999999,0.006500000000000001,0.056999999999999995,0.056999999999999995,0.056999999999999995,0.006,0.006,0.006,0.8474999999999999,0.9999999999999999,,0.07150000000000001,0.065,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/mk2i",202,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.014,1.0,0.014,0.1015,0.1015,0.1015,,0.014,0.014,0.8414999999999999,1.0,,0.11599999999999999,0.10200000000000001,1.0,,1.0
"wt, no DNAdam",203,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8150000000000001,,0.1775,0.1775,0.1775,,,,0.8150000000000001,0.8150000000000001,,0.1775,0.1775,0.8150000000000001,,0.8150000000000001
"kras$\Delta$, no DNAdam, 0/0",203,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,1.0,,0.1885,0.1885,0.1885,,,,0.8065,1.0,,0.1885,0.1885,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",203,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0165,0.9999999999999999,0.017,0.07450000000000001,0.07450000000000001,0.07450000000000001,0.0165,0.0165,0.0165,0.8359999999999999,0.9999999999999999,0.0165,0.0965,0.0795,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",203,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.008,0.9999999999999999,0.0085,0.08199999999999999,0.08199999999999999,0.08199999999999999,,0.008,0.008,0.8534999999999999,0.9999999999999999,0.008,0.095,0.0865,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",203,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.016,0.9999999999999999,0.017,0.0735,0.0735,0.0735,0.016,0.016,0.016,0.8384999999999999,0.9999999999999999,,0.093,0.076,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/mk2i",203,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.018,1.0,0.0185,0.091,0.091,0.091,,0.018,0.018,0.831,1.0,,0.1095,0.091,1.0,,1.0
"wt, no DNAdam",204,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8035,,0.2,0.2,0.2,,,,0.8035,0.8035,,0.2,0.2,0.8035,,0.8035
"kras$\Delta$, no DNAdam, 0/0",204,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.20049999999999998,0.20049999999999998,0.20049999999999998,,,,0.7925,0.9999999999999999,,0.20049999999999998,0.20049999999999998,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",204,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.004,0.9999999999999999,0.0045000000000000005,0.0665,0.0665,0.0665,0.004,0.004,0.004,0.86,0.9999999999999999,0.004,0.08399999999999999,0.0795,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",204,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0045000000000000005,0.9999999999999999,0.0045000000000000005,0.08199999999999999,0.08199999999999999,0.08199999999999999,,0.0045000000000000005,0.0045000000000000005,0.85,0.9999999999999999,0.0045000000000000005,0.0955,0.091,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",204,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.004,1.0,0.004,0.09,0.09,0.09,0.004,0.004,0.004,0.8285,1.0,,0.109,0.10500000000000001,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",204,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0025,1.0,0.0035,0.0875,0.0875,0.0875,,0.0025,0.0025,0.8684999999999999,1.0,,0.094,0.0905,1.0,,1.0
"wt, no DNAdam",205,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8175,,0.187,0.187,0.187,,,,0.8175,0.8175,,0.187,0.187,0.8175,,0.8175
"kras$\Delta$, no DNAdam, 0/0",205,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.2035,0.2035,0.2035,,,,0.7995,0.9999999999999999,,0.2035,0.2035,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",205,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0185,0.9999999999999999,0.0185,0.07300000000000001,0.07300000000000001,0.07300000000000001,0.0185,0.0185,0.0185,0.8284999999999999,0.9999999999999999,0.0185,0.101,0.0825,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",205,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0135,0.9999999999999999,0.015,0.088,0.088,0.088,,0.0135,0.0135,0.851,0.9999999999999999,0.0135,0.1095,0.0945,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",205,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0115,1.0,0.013,0.082,0.082,0.082,0.0115,0.0115,0.0115,0.8399999999999999,1.0,,0.1025,0.0895,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",205,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0135,1.0,0.015,0.09,0.09,0.09,,0.0135,0.0135,0.8485,1.0,,0.1065,0.0915,1.0,,1.0
"wt, no DNAdam",206,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.817,,0.186,0.186,0.186,,,,0.817,0.817,,0.186,0.186,0.817,,0.817
"kras$\Delta$, no DNAdam, 0/0",206,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,1.0,,0.1915,0.1915,0.1915,,,,0.8125,1.0,,0.1915,0.1915,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",206,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.026,1.0,0.027999999999999997,0.059,0.059,0.059,0.026,0.026,0.026,0.8415,1.0,0.026,0.089,0.061,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",206,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.022,0.9999999999999999,0.0235,0.0715,0.0715,0.0715,,0.022,0.022,0.8525,0.9999999999999999,0.022,0.0975,0.074,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",206,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0175,1.0,0.0185,0.0675,0.0675,0.0675,0.0175,0.0175,0.0175,0.8534999999999999,1.0,,0.08800000000000001,0.0695,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",206,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.028999999999999998,0.9999999999999999,0.03,0.08349999999999999,0.08349999999999999,0.08349999999999999,,0.028999999999999998,0.028999999999999998,0.8394999999999999,0.9999999999999999,,0.11499999999999999,0.08499999999999999,0.9999999999999999,,0.9999999999999999
"wt, no DNAdam",207,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8245,,0.1785,0.1785,0.1785,,,,0.8245,0.8245,,0.1785,0.1785,0.8245,,0.8245
"kras$\Delta$, no DNAdam, 0/0",207,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,1.0,,0.19549999999999998,0.19549999999999998,0.19549999999999998,,,,0.8005,1.0,,0.19549999999999998,0.19549999999999998,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",207,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0005,0.9999999999999998,0.0005,0.07750000000000001,0.07750000000000001,0.07750000000000001,0.0005,0.0005,0.0005,0.8499999999999999,0.9999999999999998,0.0005,0.082,0.0815,0.9999999999999998,,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/0",207,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0005,0.9999999999999999,0.0005,0.104,0.104,0.104,,0.0005,0.0005,0.828,0.9999999999999999,0.0005,0.1065,0.106,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",207,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.001,0.9999999999999998,0.001,0.0755,0.0755,0.0755,0.001,0.001,0.001,0.8419999999999999,0.9999999999999998,,0.078,0.077,0.9999999999999998,,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/mk2i",207,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0015,0.9999999999999999,0.0015,0.1135,0.1135,0.1135,,0.0015,0.0015,0.8369999999999999,0.9999999999999999,,0.115,0.1135,0.9999999999999999,,0.9999999999999999
"wt, no DNAdam",208,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8005,,0.199,0.199,0.199,,,,0.8005,0.8005,,0.199,0.199,0.8005,,0.8005
"kras$\Delta$, no DNAdam, 0/0",208,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.20700000000000002,0.20700000000000002,0.20700000000000002,,,,0.8019999999999999,0.9999999999999999,,0.20700000000000002,0.20700000000000002,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",208,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0025,1.0,0.0025,0.07600000000000001,0.07600000000000001,0.07600000000000001,0.0025,0.0025,0.0025,0.8484999999999999,1.0,0.0025,0.0835,0.081,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",208,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0035,0.9999999999999999,0.0035,0.084,0.084,0.084,,0.0035,0.0035,0.8444999999999999,0.9999999999999999,0.0035,0.0905,0.087,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",208,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.002,1.0,0.002,0.072,0.072,0.072,0.002,0.002,0.002,0.8595,1.0,,0.0765,0.0745,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",208,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.004,1.0,0.004,0.111,0.111,0.111,,0.004,0.004,0.8374999999999999,1.0,,0.11499999999999999,0.111,1.0,,1.0
"wt, no DNAdam",209,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.7975,,0.20299999999999999,0.20299999999999999,0.20299999999999999,,,,0.7975,0.7975,,0.20299999999999999,0.20299999999999999,0.7975,,0.7975
"kras$\Delta$, no DNAdam, 0/0",209,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,1.0,,0.208,0.208,0.208,,,,0.7995,1.0,,0.208,0.208,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",209,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0035,0.9999999999999999,0.004,0.06999999999999999,0.06999999999999999,0.06999999999999999,0.0035,0.0035,0.0035,0.8534999999999999,0.9999999999999999,0.0035,0.075,0.071,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",209,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0035,0.9999999999999999,0.004,0.08549999999999999,0.08549999999999999,0.08549999999999999,,0.0035,0.0035,0.845,0.9999999999999999,0.0035,0.0895,0.08549999999999999,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",209,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.004999999999999999,1.0,0.004999999999999999,0.0775,0.0775,0.0775,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.848,1.0,,0.0845,0.0795,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",209,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.005,1.0,0.005,0.1045,0.1045,0.1045,,0.005,0.005,0.845,1.0,,0.11,0.105,1.0,,1.0
"wt, no DNAdam",210,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8,,0.20199999999999999,0.20199999999999999,0.20199999999999999,,,,0.8,0.8,,0.20199999999999999,0.20199999999999999,0.8,,0.8
"kras$\Delta$, no DNAdam, 0/0",210,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.19749999999999998,0.19749999999999998,0.19749999999999998,,,,0.7899999999999999,0.9999999999999999,,0.19749999999999998,0.19749999999999998,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",210,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0075,0.9999999999999999,0.0075,0.07650000000000001,0.07650000000000001,0.07650000000000001,0.0075,0.0075,0.0075,0.8414999999999999,0.9999999999999999,0.0075,0.1,0.0925,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",210,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.004,0.9999999999999998,0.004,0.09699999999999999,0.09699999999999999,0.09699999999999999,,0.004,0.004,0.8444999999999999,0.9999999999999998,0.004,0.11249999999999999,0.10849999999999999,0.9999999999999998,,0.9999999999999998
"kras$\Delta$, DNAdam, 0/mk2i",210,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.0025,1.0,0.0025,0.07949999999999999,0.07949999999999999,0.07949999999999999,0.0025,0.0025,0.0025,0.8514999999999999,1.0,,0.0965,0.094,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",210,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.003,1.0,0.0035,0.105,0.105,0.105,,0.003,0.003,0.8519999999999999,1.0,,0.1115,0.108,1.0,,1.0
"wt, no DNAdam",211,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.809,,0.189,0.189,0.189,,,,0.809,0.809,,0.189,0.189,0.809,,0.809
"kras$\Delta$, no DNAdam, 0/0",211,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.2035,0.2035,0.2035,,,,0.7999999999999999,0.9999999999999999,,0.2035,0.2035,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",211,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.016,0.9999999999999999,0.016,0.0615,0.0615,0.0615,0.016,0.016,0.016,0.845,0.9999999999999999,0.016,0.0875,0.07150000000000001,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",211,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.015,1.0,0.015,0.094,0.094,0.094,,0.015,0.015,0.835,1.0,0.015,0.113,0.098,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",211,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.014,0.9999999999999999,0.014,0.068,0.068,0.068,0.014,0.014,0.014,0.8494999999999999,0.9999999999999999,,0.091,0.077,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/mk2i",211,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.014,0.9999999999999999,0.015,0.10350000000000001,0.10350000000000001,0.10350000000000001,,0.014,0.014,0.8469999999999999,0.9999999999999999,,0.12100000000000001,0.10600000000000001,0.9999999999999999,,0.9999999999999999
"wt, no DNAdam",212,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.8039999999999999,,0.193,0.193,0.193,,,,0.8039999999999999,0.8039999999999999,,0.193,0.193,0.8039999999999999,,0.8039999999999999
"kras$\Delta$, no DNAdam, 0/0",212,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,,0.9999999999999999,,0.199,0.199,0.199,,,,0.8069999999999999,0.9999999999999999,,0.199,0.199,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",212,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR_TP53mapk.bnet,0.021500000000000002,1.0,0.024,0.063,0.063,0.063,0.021500000000000002,0.021500000000000002,0.021500000000000002,0.8525,1.0,0.021500000000000002,0.09000000000000001,0.066,1.0,,1.0
