chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value,log2_scaled_value,scaled_value,scaled_value_no_etop,scaled_value_no_etop_across_samples,trunc_variable
0,0,0,DMSO,SW948,wes,NA,pChk2_Thr68,1,0.03,0.005,0.186,0.14,pChk2
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pChk2_Thr68,1.262,0.107,0.019,0.742,0.42,pChk2
1,0,0,1µM Chk1i,SW948,wes,NA,pChk2_Thr68,1.149,0.076,0.013,0.502,0.299,pChk2
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pChk2_Thr68,0.912,0,0,0,0.046,pChk2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pChk2_Thr68,1.04,0.043,0.007,0.271,0.183,pChk2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pChk2_Thr68,1.384,0.137,0.026,1,0.551,pChk2
0,0,0,DMSO,HCT116,wes,NA,pP38_Thr180_Tyr182,1,0,0,0,0.024,pP38
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pP38_Thr180_Tyr182,6.459,0.792,0.573,0.573,0.583,pP38
1,0,0,1µM Chk1i,HCT116,wes,NA,pP38_Thr180_Tyr182,5.273,0.706,0.448,0.448,0.462,pP38
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pP38_Thr180_Tyr182,3.009,0.468,0.211,0.211,0.23,pP38
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pP38_Thr180_Tyr182,8.964,0.931,0.835,0.835,0.839,pP38
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pP38_Thr180_Tyr182,10.534,1,1,1,1,pP38
0,0,0,DMSO,SW620,wes,NA,pP38_Thr180_Tyr182,1,0,0,0,0.024,pP38
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pP38_Thr180_Tyr182,1.211,0.192,0.123,0.271,0.046,pP38
1,0,0,1µM Chk1i,SW620,wes,NA,pP38_Thr180_Tyr182,1.099,0.095,0.058,0.127,0.034,pP38
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pP38_Thr180_Tyr182,1.772,0.573,0.45,0.99,0.103,pP38
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pP38_Thr180_Tyr182,1.554,0.441,0.323,0.71,0.081,pP38
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pP38_Thr180_Tyr182,1.78,0.577,0.455,1,0.104,pP38
