chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,Cleaved_Caspase_3_24h,29.3
0,0,42,42µM etoposide (2h),HCT116,facs,24,Cleaved_Caspase_3_24h,NA
0,0,0,DMSO,SW620,facs,24,Cleaved_Caspase_3_24h,0.72
0.5,0,0,0.5µM Chk1i,SW620,facs,24,Cleaved_Caspase_3_24h,1.1
1,0,0,1µM Chk1i,SW620,facs,24,Cleaved_Caspase_3_24h,4.13
0,2.5,0,2.5µM Mk2i,SW620,facs,24,Cleaved_Caspase_3_24h,0.85
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,Cleaved_Caspase_3_24h,6.41
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,Cleaved_Caspase_3_24h,15.5
0,0,42,42µM etoposide (2h),SW620,facs,24,Cleaved_Caspase_3_24h,NA
0,0,0,DMSO,SW948,facs,24,Cleaved_Caspase_3_24h,18.3
0.5,0,0,0.5µM Chk1i,SW948,facs,24,Cleaved_Caspase_3_24h,36.3
1,0,0,1µM Chk1i,SW948,facs,24,Cleaved_Caspase_3_24h,18.7
0,2.5,0,2.5µM Mk2i,SW948,facs,24,Cleaved_Caspase_3_24h,51.6
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,Cleaved_Caspase_3_24h,37.7
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,Cleaved_Caspase_3_24h,39.4
0,0,42,42µM etoposide (2h),SW948,facs,24,Cleaved_Caspase_3_24h,NA
0,0,0,DMSO,HCT116,facs,48,Cleaved_Caspase_3_48h,5.93
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,Cleaved_Caspase_3_48h,17.3
1,0,0,1µM Chk1i,HCT116,facs,48,Cleaved_Caspase_3_48h,24.6
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,Cleaved_Caspase_3_48h,4.22
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,Cleaved_Caspase_3_48h,31.4
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,Cleaved_Caspase_3_48h,36
0,0,42,42µM etoposide (2h),HCT116,facs,48,Cleaved_Caspase_3_48h,NA
0,0,0,DMSO,SW620,facs,48,Cleaved_Caspase_3_48h,0.52
0.5,0,0,0.5µM Chk1i,SW620,facs,48,Cleaved_Caspase_3_48h,1.05
1,0,0,1µM Chk1i,SW620,facs,48,Cleaved_Caspase_3_48h,4.21
0,2.5,0,2.5µM Mk2i,SW620,facs,48,Cleaved_Caspase_3_48h,1.08
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,Cleaved_Caspase_3_48h,5.97
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,Cleaved_Caspase_3_48h,14.3
0,0,42,42µM etoposide (2h),SW620,facs,48,Cleaved_Caspase_3_48h,NA
